creator_id,id,bunny_video_id,creator_name,source_url,caption,transcript,views,likes,shares,saves,restaurant,address,km_from_downtown,creator_rank
0e0de8d1-0964-4b25-9fa9-42c13dede118,20b198f3-ef23-4e79-89e2-bd2f23e08058,d7b6a761-6a2d-4048-8111-cf6695181f18,insta.noodls,https://www.tiktok.com/@insta.noodls/video/7222717639225838853,"My favourite ramen kit so far #ramen #dormfood ","Start Time	End Time	Subtitle
00:00:00	00:00:01	Welcome to my series
00:00:01	00:00:03	where I eat frozen ramen kits for breakfast
00:00:03	00:00:04	until they run out.
00:00:04	00:00:06	Today, I'm trying to spicy tonkotsu flavor.
00:00:06	00:00:07	This one is even thicker
00:00:07	00:00:09	and more gigantic than the previous one.
00:00:09	00:00:11	I think because this one comes with thick noodles.
00:00:11	00:00:13	You can tell by how red this soup broth is
00:00:13	00:00:15	that it's gorgeous to be spicy.
00:00:15	00:00:17	I love that marbling on that chasu.
00:00:17	00:00:18	And the broth is really creamy,
00:00:18	00:00:20	but extra flavorful because of that chili oil.
00:00:20	00:00:21	Love the thick noodles.
00:00:21	00:00:24	This is definitely my favorite ramen kit so far.
00:00:24	00:00:26	But my question for you is, which one should I try next?",23800000,2000000,44900,112100,ramen RAIJIN,"24 Wellesley St. West Rear, Toronto, ON M4Y 2X6, Canada",1.34251148612,1
0e0de8d1-0964-4b25-9fa9-42c13dede118,dfbbde89-4488-47cb-aa18-287a3a026b7b,5928b6de-359a-4650-b069-2b01ef5dabb3,insta.noodls,https://www.tiktok.com/@insta.noodls/video/7353378690299923717,"Secretly enjoying my ramen and juicy dumplings with help from @Bounty Paper Towels #ad #BountyPartner #ramen #dumplings ","Start Time	End Time	Subtitle
00:00:22	00:00:24	Babe, what are you doing?
00:00:36	00:00:38	Not this again. Uh,
00:00:38	00:00:39	what again, honey?
00:00:40	00:00:43	Um, heaven. Heaven.",22700000,226700,1910,13000,SHINYI Handmade Dumplings | dumpling house of 416,"641 Yonge St, Toronto, ON M4Y 1N1, Canada",1.63086728246,2
399d1ac5-bda8-400a-81b3-8f83253e632c,f46cbc1f-be3c-449b-ad3a-837debf30cc6,40c3c304-ad3e-4a76-a7a8-6677352cfc89,tryittoronto,https://www.tiktok.com/@tryittoronto/video/7410450554524093702,"Eating all my meals at @Subway Canada !??? The new Ciabatta Breakfast Sandwiches and Snackwiches (all less than $5!!!*) are the perfect additions to their menu, so you can satisfy those Subway cravings any time of day ! From customizable breaky sandos to a mouthwatering Footlong Cookie, Subway’s got your back from morning till night! Hit up your local Subway and enjoy the flavour all day long!  *Prices and participation may vary. Check your app for pricing. #ad #sponsored #SubwayCanada #Canadianfoodie","Start Time	End Time	Subtitle
00:00:00	00:00:02	Eating all my meals at subway for a full day.
00:00:02	00:00:04	Let's kick things off with their new breakfast sandwiches.
00:00:04	00:00:06	I went with their sausage and egg breakfast sandwich.
00:00:06	00:00:07	And they're totally customizable,
00:00:07	00:00:10	by the way, so I can get as much toppings and sauces I want.
00:00:10	00:00:12	Breakfast is the most important meal of the day.
00:00:12	00:00:15	For lunch, I'm going with their shawarma chicken rice bowl.
00:00:15	00:00:17	It's super filling, perfect for keeping me going.
00:00:17	00:00:19	It's three PM you know what that means.
00:00:19	00:00:21	It's snack time. This calls for the new 4 inch snack,
00:00:21	00:00:23	which is, I had to go with the Turkey ranch,
00:00:23	00:00:24	small but seriously tasty.
00:00:24	00:00:27	For dinner, you can't go wrong with their Thundury twist footlong
00:00:27	00:00:29	from their globally inspired subway series,
00:00:29	00:00:30	cold flavors all the way. And of course,
00:00:30	00:00:33	we're ending the day off with a footlong cookie for dessert.
00:00:33	00:00:34	Subway's got you covered all day long.
00:00:34	00:00:37	Swing by your local spot and grab what you're craving today.",21600000,64500,1743,3618,Subway,"34 Church St, Toronto, ON M5E 1T3, Canada",0.85737747891,1
0e0de8d1-0964-4b25-9fa9-42c13dede118,e78e0546-cba6-49b7-804a-7c22e585e602,856eb51b-57c1-472b-80f8-fc40bf4031a6,insta.noodls,https://www.tiktok.com/@insta.noodls/video/6989784585043234053,@snackqween told me to do this #cheese #ramen #foodtiktok,N/A,18600000,2000000,115800,281600,111 Ramyun,"2156 Yonge St, Toronto, ON M4S 2A8, Canada",5.74751711571,3
0e0de8d1-0964-4b25-9fa9-42c13dede118,b6c43ecb-b698-41df-ae71-92892e405385,f2cdb96c-f3ca-416b-8306-d7ac64c87649,insta.noodls,https://www.tiktok.com/@insta.noodls/video/7227538199101312262,"Seafood tonkotsu frozen ramen kit #toronto #ramen ","Start Time	End Time	Subtitle
00:00:00	00:00:02	In my frozen ramen kit collection,
00:00:02	00:00:04	I only have 2 frozen ramen kits left.
00:00:04	00:00:07	This one is called the Gyo Kai Tonkotsu Ramen
00:00:07	00:00:10	and it has a seafood and pork bone based broth flavor.
00:00:10	00:00:11	I'm already excited
00:00:11	00:00:13	when I saw how rich and creamy that broth look.
00:00:13	00:00:15	You get a gigantic slab of chasu.
00:00:15	00:00:17	I wish it was a bit more fatty though.
00:00:17	00:00:19	But what blows my mind is the broth.
00:00:19	00:00:21	Ultra creamy and rich from the pork
00:00:21	00:00:23	and they steep it with bonito flakes to get that deep
00:00:23	00:00:24	seafood flavor.
00:00:24	00:00:27	This is probably my favorite flavor out of the 6 so far,
00:00:27	00:00:29	but I'm kind of sad because after this one
00:00:29	00:00:30	I only have one frozen ramen kit left.",16300000,573500,6223,34700,Ikkousha Ramen Toronto,"249 Queen St W, Toronto, ON M5V 1Z4, Canada",0.55634771282,4
0e0de8d1-0964-4b25-9fa9-42c13dede118,8278e91d-c18d-4f8b-a35e-76add4506ec8,ffa08e41-0651-4699-be3a-5ce84490db46,insta.noodls,https://www.tiktok.com/@insta.noodls/video/7222295962306333957,"Hakata ramen kit from Raijin #ramen #dormfood ","Start Time	End Time	Subtitle
00:00:00	00:00:02	Because you love frozen ramen kits so much.
00:00:02	00:00:05	Another restaurant sent me their ramen kits to try.
00:00:05	00:00:07	These ones are super thick and gigantic,
00:00:07	00:00:09	so they actually require 8 minutes in the microwave,
00:00:09	00:00:10	but it's worth the weight.
00:00:10	00:00:12	I'm trying to Hakata Ramen first,
00:00:12	00:00:14	which is an ultra rich and creamy pork bone broth ramen.
00:00:14	00:00:16	I love the fattiness of that pork belly.
00:00:16	00:00:19	It's super tender, and the broth is so creamy,
00:00:19	00:00:20	it's restaurant quality.
00:00:20	00:00:22	But the big question is, should I continue
00:00:22	00:00:24	eating the rest of the ramen kits for breakfast?",15800000,1800000,82900,129400,ramen RAIJIN,"24 Wellesley St. West Rear, Toronto, ON M4Y 2X6, Canada",1.34251148612,5
