creator_id,id,bunny_video_id,creator_name,source_url,caption,transcript,views,likes,shares,saves,restaurant,address,km_from_downtown,creator_rank
0e0de8d1-0964-4b25-9fa9-42c13dede118,fd87b7bf-9249-41d2-814e-ac8784d5497a,00ea1df9-0f5f-4edd-abd1-7f74b5cc0d37,insta.noodls,https://www.tiktok.com/@insta.noodls/video/7085819393191595270,#duet with @chef_ashleymc shin ramyun hack with fish roe dumplings and bacon,"Start Time	End Time	Subtitle
00:00:11	00:00:12	ooh
00:00:13	00:00:14	bacon is a key move
00:00:17	00:00:19	fish roll dumplings eh
00:00:21	00:00:22	oh yeah
00:00:23	00:00:24	that looks delicious
00:00:26	00:00:28	never thought of fish roll dumplings I should try it",9000000,1100000,12200,71000,Miss Dumpling,"1411 York Ave, New York, NY 10021, United States",7.71450084215,1
ee21ebda-a270-4f62-b81b-c960e148870b,13125317-cc46-43cc-9ec4-813d1aced3ab,5cb2c4f3-4338-408b-8bcc-ecea66fd6c6a,how.kev.eats,https://www.tiktok.com/@how.kev.eats/video/7479880586249751854,"FINALLY trying a Philly Cheesesteak in Philadelphia. First up, the inventor, Pat’s King of Steaks #foodreview #mukbang ","Finally trying a Philly Cheesecake in Philly. I'm into the OG Pats. This place apparently invented the cheese cake. Ooh, I got this one with cheese whiz. It's really chewy. I may have just been a bad bite. This is ass. The meat has the texture of an aroused nipple. It tastes like there's no salt on it. The bread is super dense. Two cheese steaks for 35 bucks is insane for this. So far, I'd give us a 4.2 out of 10. I don't even want to try the next one. This is the cheese steak with provolone. Look at this meat. There's well done. And then there's shoe leather. It literally just looks like meat, onions, and bread. I don't even really see the cheese. Brat. Honestly, it kind of just seems like they made this with no love at all. When I tell you that is the worst cheese steak I've ever eaten in my life, 2.2 out of 10. It literally just tastes like boiled meat between bread with nothing else. No seasoning? No nothing. Terrible.",7500000,626500,11700,26700,Pat's King of Steaks,"1237 Passyunk Ave, Philadelphia, PA 19147, USA",130.767324919,1
0e0de8d1-0964-4b25-9fa9-42c13dede118,b63810fd-edf5-4c39-976b-dabbb47aa9b8,7b3db2d4-1b82-4117-a168-f00da1523313,insta.noodls,https://www.tiktok.com/@insta.noodls/video/7266950938416532742,"Waited over 1 hour in the rain in NYC to try Adel’s Halal Food ","Start Time	End Time	Subtitle
00:00:00	00:00:02	I flew all the way to New York
00:00:02	00:00:04	and waited over an hour in the rain just to
00:00:04	00:00:07	see if this halal food truck lives up to the hype.
00:00:07	00:00:09	And no, it's not halal, guys.
00:00:09	00:00:10	It's a Dell's Halal Food.
00:00:10	00:00:10	And apparently
00:00:10	00:00:12	it's the best halal food truck in the city.
00:00:12	00:00:13	Drenched into pouring rain,
00:00:13	00:00:15	I ordered our combo mixed over rice.
00:00:15	00:00:16	Recommended by the owner.
00:00:16	00:00:18	It comes with chicken and lamb,
00:00:18	00:00:19	some spicy rice,
00:00:19	00:00:20	and that signature cream sauce.
00:00:20	00:00:22	But the question you've been waiting for.
00:00:22	00:00:23	Does it live up to the hype?
00:00:23	00:00:24	I know this sounds dramatic,
00:00:24	00:00:27	but the first bite was like a spiritual experience.
00:00:27	00:00:30	Chunks of ultra tender lamb and chicken
00:00:30	00:00:32	mixed with that incredible cream sauce and spiced rice.
00:00:32	00:00:34	This is definitely worth the wait,
00:00:34	00:00:35	and I'm dancing with joy.",6900000,601100,64500,71500,Adel's Famous Halal Food,"1221 6th Ave, New York, NY 10020, United States",5.56319719442,2
ee21ebda-a270-4f62-b81b-c960e148870b,6cbb2251-b3eb-4593-ae21-8e70a84a3ead,73ed31de-1f7a-422d-9e36-8eaaa660f1bf,how.kev.eats,https://www.tiktok.com/@how.kev.eats/video/7374853563593329966,"This was one of the best smashburgers I’ve ever had. It comes from 📍Gotham Burger Social Club in New York City  #foodreview #mukbang ","This is supposed to be the best burger in New York City right now. It comes from Gotham Burger Social Club. I got the double patty. They put pickled jalapenos and pickles in the burger. Daddy chill. Oh my god. The edges are beautifully crispy. They smash the patty down with the onions. Technically the right way to do it. Pretty sure this is a Martin's potato roll and it actually has a little bit of texture to it. jalapeno adds such a nice flavor. Right off the bat, this is one of the best match burgers I've ever had. I also got their fried pickles. That's on the other side. Do you know me? You know I love Dylan my ranch and this has a ton of Dylan- boop. And lastly an onion ring with ranch. Wow. It don't look seasoned but they're actually seasoned pretty well and the texture is really good. All around giving Gotham Burger Social Club a 9.3 out of 10. If you're in New York, I would come here immediately. Oh my god.",6800000,604000,54300,73000,Gotham Burger Social Club,"131 Essex St, New York, NY 10002, USA",1.75010988888,2
ee21ebda-a270-4f62-b81b-c960e148870b,26ec2de2-7d84-4ab3-bd7e-72b03df28e25,82290ecb-ae4b-4833-9a0e-91961391a116,how.kev.eats,https://www.tiktok.com/@how.kev.eats/video/7403056243192958250,"Katz’s Deli Review…after a few #mukbang #foodreview ","You guys asked for a drunk food review? I'm at Katz's deli, I like 2AM. First off, they serve you samples of pastrami. How good can it possibly get? I want it. I want it. I want it. Here I get one. I want it. I want it. I want it. I want it. I want it. I want it. I want it. I want it. I want it. I want it. I want it. I want it. I want it. Oh my god. This is seriously some of the best pastrami you can ever get. They're cheese in the crowd, great addition. The Russian dressing, compliments is really well. It gives a little bit of sweetness. The only thing is the bread. It's the biggest piece of dog shit. But if you've had a couple drinks, of course I have to go to fight with our mussel. That's amazing. Keep in mind, I've drank a lot tonight. I would give this an 8.8 out of 10.",5300000,404800,10600,18400,Katz's Delicatessen Pastrami Sandwich New York City Address,"205 E Houston St, New York, NY 10002, USA",1.90902529737,3
ee21ebda-a270-4f62-b81b-c960e148870b,16e41682-997d-4f89-a834-b7e43fc2bf58,d37ae3fa-e51d-4ca5-9a08-57a7cbb58b7d,how.kev.eats,https://www.tiktok.com/@how.kev.eats/video/7333309380378594603,"New Haven style Pizza has touched down in LA and it didnt disappoint 📍Ozzy’s Apizza #foodreview ","According to Dave Portnoy, this is one of the best pizza spots in LA. For LA? Pretty much as good as you can get. And it's my first time trying new Haven-style pizza. Comes from a spot called Ozzie's Apeats. I got a tomato pie and I got a cheese. First I got this tomato style. I didn't think this would have as much flavor as it does. That dough is spectacular. The tomato sauce, high quality, and those beautiful charred bits add another layer of texture and flavor. It gives it to you with crushed red pepper and parmesan, so let's just try one with both. What Elon Musk? It's really good. And now of course a cheese pizza. As you can see, distribution of ingredients immaculate. The actual taste of the dough is good too. I wish there was a little bit more cheese on the pizza, but still great. I'm now a big fan of new Haven-style pizza. Portnoy gave it an 8.1. Both pizzas had given 8.7 out of 10. I would say this is like a top 8 pizza in LA.",5200000,403600,4513,23900,Ozzy's Apizza,"285 Nicoll St Ste #104, New Haven, CT 06511, USA",114.55361463072,4
ee21ebda-a270-4f62-b81b-c960e148870b,2712cd67-f8e2-4f6a-bcdf-761301238265,ab27d96d-abdb-4506-ab4d-0d9e59931fc2,how.kev.eats,https://www.tiktok.com/@how.kev.eats/video/7391553849116413227,"FINALLY trying Freddy’s frozen Custard & Steakburgers for the very first time! #mukbang #foodreview ","Finally trying Freddy's steak burger for the very first time first step some french fries oh so good Probably some of the best super thin fries I've had this is what the burger looks like and actually looks pretty good mustard onion pickle and cheese I don't know why these pickles are so big that's a First bite in this is the top five chain burger The meat is smashed down beautifully love that they don't dice the onions the pickles are a little overpowering I like pickles in my mouth and next up we have onion rings in their cheese sauce Onion rings are pretty ass the cheese sauce is great something you rarely find at fast food places cheese curds with their fry sauce The cheese is so squeaky. These are dig thing Just like thousand on it and lastly their chili dog. They never get a chili dog at a fast food establishment because it's just asking for dire Bun looks sensational also For a fast food chili dog. That's a very good to Ooh, why don't they have this in LA almost forgot the frozen custard this one has caramel and pecans in it I'm not even a dessert guy. This is really good for fast food I'd give Freddy's a whopping 8.7 out of 10 we're comparing this burger to all the good burgers I've ever had I would still give this a 7.6 out of 10 which is Crazy for a fast food place. Please come to LA mm",4700000,408000,11800,19500,Freddy's Frozen Custard & Steakburgers,"810 W Edgar Rd, Linden, NJ 07036, USA",23.22837954817,5
0e0de8d1-0964-4b25-9fa9-42c13dede118,867db764-d44d-496c-8b87-102796a8650a,4290f5ab-448b-4923-ac09-747b08269ade,insta.noodls,https://www.tiktok.com/@insta.noodls/video/7298851034510691589,"Michelin restaurant trained chef @FrenchyCooks (Romain Avril) critiques frozen ramen from @ramen.raijin ","Start Time	End Time	Subtitle
00:00:00	00:00:02	Hey chef, do you wanna try my frozen ramen?
00:00:02	00:00:04	You know, like busy reading about sleep right now.
00:00:04	00:00:05	Guess I'm not gonna get any sleep tonight
00:00:05	00:00:08	cause like Beast fits right in.
00:00:10	00:00:11	Check if it's ready.
00:00:11	00:00:12	Look at that.
00:00:12	00:00:13	But when you say by it's ready,
00:00:13	00:00:14	you mean it's almost ready?
00:00:14	00:00:15	I'm French, right?
00:00:15	00:00:17	I gotta add a little bit of butter to it.
00:00:17	00:00:19	That's a little bit. Yeah,
00:00:19	00:00:20	that's a little bit.
00:00:22	00:00:25	Wow, the spicy is so good.
00:00:25	00:00:27	Trust you. It's so tender.
00:00:27	00:00:28	What would you rate this out of 10?
00:00:28	00:00:31	A 9.2. What bites level is perfect?",4100000,245700,309,18500,Ichiran,"132 W 31st St, New York, NY 10001, United States",4.14484990469,3
66962d85-b8b6-42cd-9a85-f578f8d0cd9d,c887a2fe-91c3-463e-9ccf-91e44884aaa8,a911f1ac-e193-41a7-aa61-c421ba60e67d,phillyfoodies,https://www.tiktok.com/@phillyfoodies/video/7190435540741688619,"Earn 2x rewards on the @wawa app now through 2/5 on all eligible purchases!!!! What better way to earn rewards than by going on your usual Wawa run and seeing those rewards come in!?!?!? Download the Wawa app to start earning! #phillyfoodies #WawaRewards #partner  ",3 drops of water radar driving car super,1800000,53200,301,66,Wawa,"912-916 Walnut St, Philadelphia, PA 19107, USA",129.49606191032,1
0e0de8d1-0964-4b25-9fa9-42c13dede118,50ec48d1-1370-45bb-bf69-0804d37b74e0,2507265d-83d8-488b-b65e-3e3839837744,insta.noodls,https://www.tiktok.com/@insta.noodls/video/7331469622786395397,"@Dave Chang chili crisp @Momofuku Goods vs @CantoMando chili crisp ","Start Time	End Time	Subtitle
00:00:00	00:00:02	David Chang's Chili Crisp
00:00:02	00:00:04	versus Cantonmando's Chili Crisp.
00:00:04	00:00:06	Let's see which one goes better with soup dumplings.
00:00:06	00:00:08	First, let's try Cantonmando's Chili Crisp.
00:00:08	00:00:10	There's a ton of crispy bits on this one.
00:00:10	00:00:11	Let's try it out.
00:00:12	00:00:14	I like that crunch.
00:00:14	00:00:15	There's a bit of heat.
00:00:15	00:00:16	The flavor is very subtle.
00:00:16	00:00:17	Not bad, though.
00:00:17	00:00:20	Next, let's try Momofuku's Original Chili Crisp.
00:00:20	00:00:21	I think there's some sesame seeds on there.
00:00:21	00:00:23	I'm not sure what else is in there.
00:00:24	00:00:25	That's also not bad.
00:00:25	00:00:27	It gives it a bit of heat, again,
00:00:27	00:00:28	a little bit of crunch.
00:00:28	00:00:30	And this is Momofuku's Honey Chili Crunch.
00:00:31	00:00:33	Just look at that honey glaze.
00:00:36	00:00:38	Whoa! Holy moly.
00:00:38	00:00:40	That is very sweet and I kind of like it.
00:00:40	00:00:42	I've never tried anything like that.
00:00:42	00:00:44	It's got a nice kick and it's got a nice sweetness.
00:00:44	00:00:45	Last but not least,
00:00:45	00:00:47	this is Mofuku's black truffle.
00:00:47	00:00:48	It looks very similar to the original,
00:00:48	00:00:51	but the aroma is actually quite incredible.
00:00:52	00:00:54	Okay. It tastes very similar to the original.
00:00:54	00:00:57	It's just that the smell smells like the black truffle.
00:00:57	00:01:00	My favourite by far is that hot honey by Momofuku.",1400000,100300,416,6371,Momofuku Noodle Bar,"171 1st Ave, New York, NY 10003, United States",2.57916436145,5
